title,release_date,reviews,russian_supported,genres,review_link
Mika and The Witch's Mountain,22 янв. 2025 г.,90% из 332 обзоров положительные.,Нет,"Экшены, Приключенческие игры, Казуальные игры, Инди",https://steamcommunity.com/app/1819460/reviews/?browsefilter=trendsixmonths&snr=1_5_100010_
Factorio,14 авг. 2020 г.,"97% из 166,615 обзоров положительные.<br><br>Замечены периоды обзоров не по теме. Учитывая ваши настройки, мы исключили эти обзоры из общего рейтинга.",Да,"Казуальные игры, Инди, Симуляторы, Стратегии",https://steamcommunity.com/app/427520/reviews/?browsefilter=trendsixmonths&snr=1_5_100010_
